"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"KLRF1",7.26819528703522,7.64103933076009,6.83116667823303,9.73502713177562,4.51776385641234,7.00267005487613,5.25010871600573,3.80987219060945,3.25394456845664,12.2771017577436,13.3549084735693,12.5294825673429,6.65984663193298,5.40225760499585,6.26977567427725,7.5199185185858,6.25083819415298,6.04501239502566,6.14123389286276,5.92119686397526,6.75522544862384,6.94143472619508
"ASGR2",4.96629000581885,5.12550819082962,5.12571868467158,4.94393246357251,5.24303710969211,5.42029694081534,5.14827587522844,5.01715294791291,6.83579948362099,7.39321228765662,4.93328850274673,4.94834912570671,10.5371805831807,5.21411650827788,4.77472745859575,9.57312789555371,5.63688828891274,4.61448789461533,4.64306489810693,4.42825468468182,5.70547928977067,5.6696688300324
"SERGEF",4.06103150739824,3.6988816553938,3.59577230879583,6.0136380242939,8.05113179913154,4.886935036084,4.10674950866941,7.57094234632887,4.07220781136691,4.19142110931036,6.02640044363762,5.41198600177937,4.42099832024304,4.64734665146743,6.84053185844573,6.70059484945659,4.15702424495281,4.32632545831776,6.49158416236718,5.33650404298026,4.3574414639043,4.14925222274302
"SKAP1",10.4301830488335,9.12393193119708,9.77502798684727,11.1511800490215,11.3836366926367,11.2268209721257,9.67109638027216,11.222898704362,12.5099855316545,11.4955292562449,10.9932046799461,10.5645710441053,7.28638260294602,7.56246525606872,6.86338140910542,6.663303783231,7.40377196044324,7.27173419453647,8.96389641518367,8.91285782078127,8.80095454273926,8.60676599976978
"LHCGR",7.28252364068562,7.61749846114021,5.91646331234525,3.44591930855263,4.67051669966538,3.21035739445933,2.72220794193602,3.38124774192683,7.13020898043686,6.99925099051909,4.50556193616185,4.75850648291005,3.64040357506925,5.03381469182529,4.58725082447246,4.52554394903324,4.43545314460034,4.48005711529314,5.03354631783908,4.53830479255753,5.70736602524751,6.39086956964425
"HTR2B",2.84227762381683,3.81913490695718,4.77651192981505,4.56746246047936,3.62180002742754,2.77037611582217,2.48693572749979,3.36699890214406,4.77815678145454,6.2860559912862,4.99872593100266,2.99256161485499,3.8924417680545,2.98195104995384,5.03867905233757,7.76188548344771,4.36793109237498,8.5846597930494,5.74665652603831,2.55778801402096,3.21348249893057,3.07837997088375
"PSG2",10.5914499014519,10.2712777907778,8.72824178011791,7.30511549273312,6.78831042147097,7.75396243879589,6.64580782361607,6.35626007457384,8.20576054663589,8.46656383557941,7.2235106140095,7.09945212887002,7.41844014999592,7.3034900359263,6.58948544093625,6.99991260159223,6.87369703262107,7.20222734830407,6.34881352544114,5.45515906246603,5.9744515117712,9.1150417815517
"PAQR5",4.61781449553662,4.42794836399696,4.04797059683924,3.92401856495903,4.74408189697532,4.08384559655565,3.98929646421496,3.81342982538872,5.24555071433691,4.88844859248093,4.16393121592547,3.77570057099074,3.92888896322276,8.24085633877437,4.26909730829178,4.20703841313,4.32782841592599,4.06776370057835,8.52606734290748,8.19307663351043,4.11596748506611,4.4822091088926
"MAP9",3.49804758002825,3.81595774157048,3.21550345211677,6.5607266673073,6.602251052159,4.71727808665259,5.82642732302113,6.03300025903409,4.54298050426581,2.12219751951967,5.27190361963466,5.48253252412672,1.27560700994549,1.65109944557543,1.76035740086381,2.25859153551937,1.83767187549841,1.91554226127619,1.91771812074249,1.93193474133338,3.28380795991664,1.90242093536893
"CD96",7.14026415514601,7.51901940620582,6.40731555503173,10.7481717550529,10.485776680561,10.619233500772,7.99287618256189,8.88875874317718,11.5188108163179,11.5536328305786,10.6713503282271,11.0558031551046,5.19761651246159,5.25673360812483,6.02906636379722,5.08525777337322,5.67980369109757,5.85266061307554,6.70551573824637,5.4457778240438,8.76165428173403,6.52111041853397
